Neighborhood,Latitude,Longitude
Bensonhurst,40.60742569,-73.99529266
Boerum Hill,40.6835556,-73.984375
Borough Park,40.62732697,-73.99295807
Bowery,40.75325012,-74.00380707
Brooklyn Heights,40.69521332,-73.99307251
Carnegie Hill,40.75325012,-74.00380707
Carroll Gardens,40.68087387,-73.99888611
Central Park South,40.75325012,-74.00380707
Chelsea,40.7465,-74.0014
Civic Center,40.75325012,-74.00380707
Cobble Hill,40.68863297,-73.99942017
Columbia Waterfront District,40.6873436,-74.00363159
Ditmars Steinway,40.77930832,-73.9068222
Dumbo,40.70251846,-73.98961639
East Village,40.7265,-73.9815
East Williamsburg,40.7140007,-73.93900299
Financial District,40.75325012,-74.00380707
Flatiron,40.75325012,-74.00380707
Fort Greene,40.68718719,-73.97463989
Gowanus,40.67266846,-73.99000549
Greenpoint,40.72709274,-73.94673157
Greenwich Village,40.72782516,-73.99477386
Hudson Square/West Soho,40.72415543,-74.00112152
Hudson Yards,40.75325012,-74.00380707
Hunters Point,40.74687958,-73.95271301
Lenox Hill,40.7662,-73.9602
Lincoln Square,40.75325012,-74.00380707
Lower East Side,40.71411896,-73.98956299
Malba,40.79061127,-73.82668304
Manhattan Beach,40.57988739,-73.94772339
Mapleton,40.61800003,-73.98000336
Midtown South,40.7478981,-73.98917389
Neponsit,40.57146072,-73.86225128
Noho,40.75325012,-74.00380707
Nolita,40.75325012,-74.00380707
Nomad,40.74420166,-73.98829651
Park Slope,40.66581726,-73.97583771
Prospect Heights,40.67618179,-73.96629333
Red hook,40.67515182,-74.00960541
Ridgewood,40.70050812,-73.90016937
Roosevelt Island,40.7619133,-73.94995117
Soho,40.72415543,-74.00112152
South Slope,40.66311646,-73.9870224
Theatre District,40.75325012,-74.00380707
Todt Hill,40.60046387,-74.11497498
Tribeca,40.72011566,-74.01013184
Union Square,40.73537445,-73.9907074
Upper East Side,40.77041245,-73.96220398
Upper West Side,40.7879982,-73.97799683
West Chelsea,40.75325012,-74.00380707
West Village,40.7347,-74.0048
Williamsburg,40.71330261,-73.94924927
